ticker,bid,ask,last,open,high,low,volume
3380,-1,-1,9.68,9.56,9.72,9.5,6204000
2208,-1,-1,6.33,6.58,6.78,6.21,3079440
1628,-1,-1,3.09,3.18,3.18,3.07,2820000
1888,-1,-1,6.19,6.24,6.37,6.16,2314000
69,-1,-1,11.06,11.02,11.12,10.82,4704297
2638,-1,-1,7.93,7.93,7.95,7.89,2530509
3377,-1,-1,3.32,3.37,3.38,3.3,3753271
1212,-1,-1,11.38,11.68,11.8,11.3,993000
3799,-1,-1,5.66,5.6,5.73,5.57,4661595
23,-1,-1,24.35,24.75,24.75,24.25,669510
2001,-1,-1,3.3,3.4,3.45,3.23,2871000
1199,-1,-1,7.54,7.3,7.85,7.3,2465836
520,-1,-1,10.6,11.44,11.44,10.42,2011000
177,-1,-1,10.72,10.9,10.9,10.6,3312000
2768,-1,-1,14.04,14.22,14.28,13.86,2229000
665,-1,-1,2.34,2.39,2.42,2.32,8594704
1034,-1,-1,0.7,0.72,0.73,0.69,3112000
1138,-1,-1,3.72,3.83,3.83,3.68,2922000
1833,-1,-1,24.7,26.9,26.9,24.7,2012620
14,-1,-1,36.6,36.3,37.05,36.3,736242
1999,-1,-1,2.85,2.94,2.99,2.79,16987092
3669,-1,-1,4.39,4.38,4.53,4.38,550000
1071,-1,-1,3.38,3.45,3.5,3.33,9744020
3918,-1,-1,8.1,8.2,8.29,8.02,2385476
1660,-1,-1,10.14,10.1,10.18,10,328000
2098,-1,-1,4.04,4.03,4.11,3.85,14413000
168,-1,-1,30.3,31.4,31.4,30,688300
2009,-1,-1,2.36,2.47,2.47,2.35,6909000
1638,-1,-1,2.22,2.32,2.36,2.2,8369000
152,-1,-1,15,15.1,15.1,14.78,1726237
2314,-1,-1,6.55,6.62,6.67,6.48,4697000
1382,-1,-1,6.65,6.58,6.83,6.58,3290794
3618,-1,-1,4.12,4.08,4.14,4.07,5337400
220,-1,-1,6.43,6.81,6.85,6.4,2783626
3339,-1,-1,1.87,1.96,1.98,1.87,13570000
3360,-1,-1,7.7,8,8,7.63,2558600
2005,-1,-1,5.31,5.6,5.64,5.21,7208500
1882,-1,-1,15.14,15.48,15.48,14.9,805605
659,-1,-1,15.84,15.78,16.1,15.66,1556990
293,-1,-1,10.96,11.04,11.2,10.86,880305
751,-1,-1,1.63,1.66,1.67,1.62,6170006
2386,-1,-1,6.54,6.54,6.58,6.46,2728500
968,-1,-1,2.72,2.71,2.75,2.68,16774755
1966,-1,-1,2.76,2.77,2.78,2.74,7523000
691,-1,-1,2.06,2.08,2.1,2.02,294000
2039,-1,-1,7.27,7.26,7.43,7.18,817300
165,-1,-1,13.3,13.58,13.62,13.22,2105800
576,-1,-1,6.7,6.64,6.73,6.63,4156208
3319,-1,-1,10,10.18,10.44,10,414461
10,-1,-1,19.34,19.38,19.66,19.26,1119046
178,-1,-1,2.84,2.88,2.9,2.82,5011308
493,-1,-1,0.65,0.66,0.66,0.63,38818006
853,-1,-1,6.68,7.2,7.2,6.66,3300000
315,-1,-1,8.42,8.45,8.55,8.39,1396500
1083,-1,-1,5.59,5.64,5.72,5.53,1432348
123,-1,-1,1.41,1.41,1.42,1.4,7676000
658,-1,-1,5.41,6.24,6.3,5.15,6541000
7388,-1,-1,6.54,6.54,6.59,6.51,1152200
855,-1,-1,8.11,8.36,8.38,7.98,2133601
806,-1,-1,5.23,5.3,5.49,5.2,2059300
6169,-1,-1,3.09,3.07,3.17,3.05,7202000
1919,-1,-1,2.89,2.92,2.93,2.86,3178362
1911,-1,-1,19.9,20.15,20.15,19.88,70600
405,-1,-1,4.99,4.99,5,4.95,3188069
1448,-1,-1,5.19,5.53,5.57,5.13,10556000
8057,-1,-1,0.95,0.99,0.99,0.94,22676000
1310,-1,-1,12.04,11.86,12.2,11.86,2981548
53,-1,-1,97.7,96.65,98.4,96.65,13300
819,-1,-1,6.5,6.65,6.65,6.47,4870000
2840,-1,-1,955.5,953.5,957.5,952.5,25545
6818,-1,-1,3.31,3.35,3.39,3.28,6544400
3933,-1,-1,4.19,4.02,4.22,4,3076000
3990,,,15.82,15.94,15.94,15.82,400
2778,-1,-1,5.34,5.4,5.41,5.31,3226682
604,-1,-1,2.53,2.5,2.55,2.48,5142249
2343,-1,-1,1.43,1.49,1.49,1.38,17845518
6158,-1,-1,4.91,5,5.03,4.88,4031000
1788,-1,-1,1.23,1.23,1.25,1.21,6170000
3899,-1,-1,5.66,5.75,5.97,5.63,2037390
1515,-1,-1,4.82,4.94,4.95,4.8,2143000
2380,-1,-1,1.72,1.77,1.79,1.7,13816000
1666,-1,-1,10.02,10.3,10.3,10,623000
1233,-1,-1,7.8,8.13,8.18,7.73,5152000
3301,-1,-1,9.01,9.1,9.25,8.89,1731500
303,-1,-1,63.55,64.45,64.45,63.1,220623
1052,-1,-1,5.79,5.82,5.86,5.76,1764431
312,-1,-1,1.21,1.15,1.32,1.11,23320000
598,-1,-1,3.39,3.33,3.42,3.32,16719248
636,-1,-1,11.42,11.54,11.66,11.3,438872
3983,-1,-1,2.4,2.32,2.41,2.32,3460000
778,-1,-1,9.25,9.13,9.27,9.1,3515586
1540,-1,-1,0.74,0.73,0.74,0.73,78000
179,-1,-1,15.9,15.72,15.98,15.42,469626
1513,-1,-1,20.7,20.65,21.35,20.2,496490
363,-1,-1,15.08,15.24,15.42,15,3258000
460,-1,-1,1.27,1.35,1.35,1.25,17065000
590,-1,-1,22.5,22.25,22.5,21.85,853448
699,-1,-1,5.62,5.64,5.73,5.4,7704381
2669,-1,-1,2.28,2.31,2.35,2.27,2778145
2877,-1,-1,7.51,7.56,7.7,7.43,686000
6160,-1,-1,80.7,80.8,81,80.35,6700
2666,-1,-1,5.66,5.78,5.78,5.62,1084500
1293,-1,-1,2.14,2.29,2.29,2.13,4190500
2233,-1,-1,1.01,1.03,1.03,0.99,16202000
